<!-- Atlas des flux RSS/ATOM - rubrique politique - langue française - par Saynète http://www.saynete.net - http://atlasflux.saynete.net 22_01_2020 -->
"NPA - Nouveau Parti Anticapitaliste : Hérault";"http://npaherault.blogspot.com/feeds/posts/default?alt=rss";"politique";"parti";
"NPA - Nouveau Parti Anticapitaliste : Loire-Atlantique";"https://npa44.org/feed/";"politique";"parti";
"Nutizie nustrale : facebook";"http://flux.saynete.com/nutizienustrale.xml?id=193021400886400";"politique";
"Où va la CGT ?";"http://ouvalacgt.over-blog.com/rss";"politique";"syndicat";
"Orange portail : politique";"https://pro.orange.fr/actualites/politique/rss.xml";"politique";
"OTAN : Représentation Permanente de la France";"https://otan.delegfrance.org/spip.php?page=backend&amp;id_rubrique=1";"politique";"administration";
"Oui au pays catalan";"https://ouiaupayscatalan.com/feed/";"politique";"parti";
"Parcourir les prises de positions politiques françaises";"https://www.politique-animaux.fr/rss";"politique";"animaux";
"Parlement européen : à la Une";"http://www.europarl.europa.eu/rss/doc/press-releases/fr.xml";"politique";"institution";
"Parlement européen : service de presse";"http://www.europarl.europa.eu/rss/doc/press-news/fr.xml";"politique";"institution";
"Parti Breton - Strollad Breizh";"https://partibreton.bzh/feed/";"politique";"parti";
"Parti Communiste Français";"https://www.pcf.fr/actualites.rss";"politique";"parti";
"Parti Communiste Français : Bouche-du-Rhône";"http://pcf13.com/feed/";"politique";"parti";
"Parti Communiste Français : Cap-Corse";"http://pcfcapcorse.over-blog.com/rss";"politique";"parti";
"Parti de Gauche";"https://www.lepartidegauche.fr/feed/";"politique";"parti";
"Parti pirate";"https://partipirate.org/feed/";"politique";"parti";
"Parti Socialiste";"https://www.parti-socialiste.fr/feed/";"politique";"parti";
"Paul Molac";"http://paulmolac.bzh/feed/";"politique";"personnalite";
"PIO - Parti Ouvrier Indépendant";"http://partiouvrierindependant-poi.fr/index.php/feed/";"politique";"parti";
"Plateforme Palestine";"https://plateforme-palestine.org/spip.php?page=backend";"politique";
"PodCast journal";"https://www.podcastjournal.net/xml/podcast.xml";"politique";
"PodCast journal";"https://www.podcastjournal.net/xml/syndication.rss";"politique";
"Politique Actu";"http://www.politique-actu.com/rss/politique-actu.xml";"politique";
"Politis";"https://www.politis.fr/rss.xml";"politique";
"Politis : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCtjc5x0RIiTsdYS4IFMjCGQ";"politique";
"PRCF - Pôle de Renaissance Communiste en France";"https://www.initiative-communiste.fr/feed/";"politique";"parti";
"Public Sénat : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCTa1bPArjpvNMgSHAb_pflA";"politique";
"Public Sénat : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCTa1bPArjpvNMgSHAb_pflA";"politique";
"Pure Médias";"https://www.ozap.com/rss";"politique";
